Estacion,Fecha inicial,Año,Mes,Día,P,VViento,O3,DViento,PLiquida,PM2.5,PM10,RGlobal,SO2 TR,HAire10,TAire10
COLEGIO GAITÁN,2022-03-26,2022,3,26,683.3875,1.43333333,48.9625,237.9166667,1.12083333,20.41666667,28.07916667,148.1064167,,88.44166667,22.5375
COLEGIO GAITÁN,2022-03-25,2022,3,25,683.2666667,1.57083333,57.62916667,251.3833333,0.88333333,24.93333333,33.44583333,238.8074167,,79.15,24.27083333
COLEGIO GAITÁN,2022-03-24,2022,3,24,683.1208333,1.45833333,50.02916667,245.5791667,0.26666667,20.45,29.34583333,218.8839583,,83.06666667,24.14583333
COLEGIO GAITÁN,2022-03-23,2022,3,23,683.1208333,1.56666667,48.43,246.2458333,0.00833333,28.2125,39.875,261.1826667,,75.55,25.05416667
COLEGIO GAITÁN,2022-03-22,2022,3,22,682.8958333,1.4625,,253.7875,0,22.8125,32.68333333,226.8702917,,80.2125,24.59583333
COLEGIO GAITÁN,2022-03-21,2022,3,21,683.0583333,1.34166667,,243.4125,0.01666667,21.25833333,28.875,199.73425,,80.62916667,23.89583333
COLEGIO GAITÁN,2022-03-20,2022,3,20,683.675,1.52916667,,203.325,0.00833333,27.15,34.85416667,211.8376667,,76.3625,24.30833333
COLEGIO GAITÁN,2022-03-19,2022,3,19,683.5916667,1.4625,,216.0708333,0,28.56666667,39.82916667,235.095,,76.225,24.575
COLEGIO GAITÁN,2022-03-18,2022,3,18,683.8291667,1.37916667,,211.7416667,0,28.15833333,41.82916667,188.0265833,,78.74583333,23.9125
COLEGIO GAITÁN,2022-03-17,2022,3,17,684.0541667,1.48333333,,216.1458333,0.00833333,22.56666667,35.04583333,221.068375,,82.93333333,23.40833333
COLEGIO GAITÁN,2022-03-16,2022,3,16,684.0625,1.55,,232.6625,0.42083333,13.9875,24.50416667,201.3195,,81.55416667,23.75416667
COLEGIO GAITÁN,2022-03-15,2022,3,15,684.3791667,1.57083333,,174.2458333,0.00833333,8.11666667,17.025,213.7754167,,82.6125,22.87916667
COLEGIO GAITÁN,2022-03-14,2022,3,14,684.5,1.69583333,,246.6583333,0.2,10.24166667,18.3625,162.6402083,,83.3125,22.7875
COLEGIO GAITÁN,2022-03-13,2022,3,13,685.2583333,1.53333333,,227.3,0,11.35,19.4375,161.8354583,,79.83333333,22.69583333
COLEGIO GAITÁN,2022-03-12,2022,3,12,684.3708333,1.49166667,,208.3916667,0,16.8875,26.725,208.189625,,78.06666667,23.70833333
COLEGIO GAITÁN,2022-03-11,2022,3,11,684.5916667,1.48333333,,222.6916667,0,18.0375,30.08333333,269.4279167,,76.63333333,23.6625
COLEGIO GAITÁN,2022-03-10,2022,3,10,684.6333333,1.4625,,211.4458333,0,17.9375,32.67083333,145.982,,79.69583333,22.65833333
COLEGIO GAITÁN,2022-03-09,2022,3,9,683.8958333,1.37916667,,250.4375,0,13.17083333,24.61666667,238.5464167,,78.09583333,23.32083333
COLEGIO GAITÁN,2022-03-08,2022,3,8,683.8291667,1.42916667,,202.5875,0,8.22916667,18.65416667,216.1558333,,79.86666667,23.1625
COLEGIO GAITÁN,2022-03-07,2022,3,7,684.25,1.32916667,,204.725,0.10833333,5.43333333,13.7375,171.5894583,,85.5375,22.375
COLEGIO GAITÁN,2022-03-06,2022,3,6,684.3583333,1.325,,152.7333333,0.06666667,7.95,14.52916667,121.9170833,,86.11666667,22.1375
COLEGIO GAITÁN,2022-03-05,2022,3,5,684.1416667,1.52083333,,207.9125,0,10.94166667,21.12083333,209.9650833,,83.60416667,23.12083333
COLEGIO GAITÁN,2022-03-04,2022,3,4,684.4125,1.36666667,,258.275,0,9.7,23.45,159.861125,,85.92916667,22.6625
